query,question,iter,flag,hardness
"SELECT T1.Airline, COUNT(DISTINCT T2.FlightNo) FROM airlines AS T1 JOIN flights AS T2 ON T1.uid = T2.Airline ORDER BY T1.Airline ASC","What is the number of unique flights operated by each airline, listed in ascending order by airline name?",6,False,medium
SELECT T1.Airline FROM airlines AS T1 JOIN flights AS T2 ON T1.uid = T2.Airline JOIN airports AS T3 ON T3.AirportCode = T2.DestAirport WHERE NOT EXISTS (SELECT 1 FROM airports AS T4 WHERE T4.AirportCode = T3.AirportCode AND T4.Country = T1.Country),What airlines operate flights to airports in foreign countries?,3,True,extra
"SELECT T1.Airline, T2.AirportName FROM flights AS T1 JOIN airports AS T2 ON T1.DestAirport = T2.AirportCode WHERE T1.FlightNo <= 100 ORDER BY T1.Airline DESC LIMIT 10","What are the airlines and corresponding destination airport names for flights with numbers less than or equal to 100, listed in descending order of airline, from the 11th to the 20th result?",3,True,extra
SELECT AVG(Airline) FROM airlines WHERE uid < 100 LIMIT 5,"What is the average airline name for airlines with id less than 100, starting from the 6th airline?",2,True,medium
SELECT FlightNo FROM flights WHERE SourceAirport = 'JFK' OR DestAirport = 'LAX' OR FlightNo BETWEEN 1 AND 100 LIMIT 10,What are the next 10 flight numbers of flights that depart from JFK or arrive at LAX or have flight numbers between 1 and 100?,3,True,extra
"SELECT Airline, AVG(FlightNo) FROM flights GROUP BY Airline",What are the average flight numbers for each airline?,2,True,medium
SELECT Airline FROM airlines WHERE Country = 'USA' OR Abbreviation LIKE 'A%' OR uid IN (SELECT Airline FROM flights WHERE SourceAirport = 'JFK'),"What are the names of US airlines, airlines with abbreviations starting with 'A', or airlines that have flights departing from JFK airport?",5,True,extra
SELECT COUNT(DestAirport) FROM flights WHERE Airline = 101,How many destination airports are served by airline 101?,4,True,easy
SELECT AirportName FROM airports AS T1 WHERE City BETWEEN 'New York' AND 'Los Angeles' ORDER BY AirportName ASC LIMIT 10,"What are the names of the 11th to 20th airports in alphabetical order, located in cities between New York and Los Angeles?",3,True,hard
SELECT T1.Airline FROM airlines AS T1 JOIN flights AS T2 ON T1.uid = T2.Airline WHERE T1.Country = 'USA' AND T2.DestAirport = 'JFK',What are the names of airlines from the USA that have flights to JFK?,4,True,medium
"SELECT T1.AirportCode, T1.AirportName FROM airports AS T1 JOIN flights AS T2 ON T1.AirportCode = T2.DestAirport ORDER BY T1.AirportCode ASC","What are the airport codes and names of destination airports, listed in ascending order by airport code?",6,False,medium
"SELECT T1.Airline, T2.AirportName FROM airlines AS T1 JOIN flights AS T3 ON T1.uid = T3.Airline JOIN airports AS T2 ON T3.SourceAirport = T2.AirportCode WHERE T1.uid >= 2 ORDER BY T1.Airline DESC","What are the airline names and airport names of the source airports for airlines with id 2 or more, listed in descending order of airline name?",3,True,extra
"SELECT SourceAirport, SUM(DestAirport) FROM flights WHERE FlightNo < 100 GROUP BY SourceAirport HAVING SUM(DestAirport) > 500 ORDER BY SUM(DestAirport) DESC","Which source airports have more than 500 total destination airports for flights with numbers less than 100, listed in descending order of total destination airports?",6,False,hard
SELECT AirportName FROM airports WHERE CountryAbbrev BETWEEN 'A' AND 'M',What are the names of the airports located in countries with abbreviations from A to M?,3,True,easy
"SELECT T1.Airline, T2.Airline FROM flights AS T1 JOIN flights AS T2 ON T1.FlightNo = T2.FlightNo WHERE T1.FlightNo < 100",What are the pairs of airlines that operate the same flights with flight numbers less than 100?,6,False,medium
"SELECT T1.Country, COUNT(T1.uid) FROM airlines AS T1 JOIN flights AS T2 ON T1.uid = T2.Airline WHERE T1.Airline != 'Delta' GROUP BY T1.Country ORDER BY COUNT(T1.uid) DESC","What are the countries with the most airlines, excluding Delta, that have flights scheduled?",6,False,extra
"SELECT COUNT(DISTINCT T1.SourceAirport), MIN(T1.FlightNo) FROM flights AS T1 WHERE T1.Airline = 101 OR T1.FlightNo BETWEEN 100 AND 200 OR EXISTS (SELECT 1 FROM airports AS T2 WHERE T2.AirportCode = T1.DestAirport) GROUP BY T1.DestAirport","For each destination airport, what are the number of unique source airports and the smallest flight number of flights operated by airline 101 or having flight numbers between 100 and 200, or having a destination airport that exists in the airports table?",2,True,extra
"SELECT T1.AirportName, COUNT(T2.DestAirport) FROM airports AS T1 JOIN flights AS T2 ON T1.AirportCode = T2.DestAirport WHERE T1.Country = 'USA' OR T2.SourceAirport IN (SELECT AirportCode FROM airports WHERE Country = 'Canada') GROUP BY T1.AirportName HAVING COUNT(T2.DestAirport) > 10 LIMIT 5",What are the next 5 US airport names with more than 10 incoming flights from either US or Canadian airports?,6,False,extra
"SELECT T1.AirportName, COUNT(DISTINCT T2.DestAirport) FROM airports AS T1 JOIN flights AS T2 ON T1.AirportCode = T2.DestAirport JOIN airlines AS T3 ON T3.uid = T2.Airline WHERE T3.uid < 100 ORDER BY T1.AirportName ASC LIMIT 10","What are the names of the 11th to 20th airports with the most unique destinations served by airlines with an ID less than 100, listed in ascending order by airport name?",6,False,extra
SELECT COUNT(DISTINCT Airline) FROM airlines AS T1 ORDER BY COUNT(DISTINCT Airline) DESC,What is the count of unique airlines in descending order of their counts?,6,False,easy
SELECT * FROM airlines AS T1 WHERE T1.Airline != 'American Airlines' LIMIT 10,"What are the details of the next 10 airlines excluding the first 10, ordered by the default order, that are not 'American Airlines'?",6,False,medium
"SELECT * FROM flights AS T1, airports AS T2 WHERE T1.DestAirport = T2.AirportCode AND T2.CountryAbbrev > 'A' LIMIT 10",What are the details of the 11th to 20th flights with destination airports located in countries with abbreviations after 'A'?,6,False,hard
SELECT COUNT(DISTINCT Airline) FROM flights WHERE DestAirport IN (SELECT AirportCode FROM airports),How many different airlines operate to airports that are in the list of known airports?,6,True,hard
"SELECT COUNT(DISTINCT T1.Abbreviation), COUNT(DISTINCT T1.Country), COUNT(T2.FlightNo) FROM airlines AS T1 JOIN flights AS T2 ON T1.uid = T2.Airline WHERE T2.DestAirport > 'ABC' ORDER BY T2.FlightNo ASC LIMIT 10","What are the counts of distinct airline abbreviations, distinct airline countries, and flight numbers for flights with destination airport codes greater than 'ABC', ordered by flight number in ascending order and limited to 10 results after the first 10?",3,True,extra
