query,question,iter,flag,hardness
SELECT T1.title FROM Paintings AS T1 JOIN Artists AS T2 ON T1.painterID = T2.artistID WHERE EXISTS (SELECT 1 FROM Sculptures AS T3 WHERE T3.title = T1.title),What are the titles of the paintings that have the same title as some sculpture?,2,True,extra
"SELECT painterID, COUNT(paintingID) FROM Paintings WHERE painterID NOT IN ( SELECT sculptorID FROM Sculptures ) LIMIT 10","Which 10 painters, who are not sculptors, have the most paintings?",4,True,extra
SELECT COUNT(DISTINCT T2.painterID) FROM Artists AS T1 JOIN Paintings AS T2 ON T1.artistID = T2.painterID WHERE T2.year > 1900 OR T1.lname = 'Picasso' OR EXISTS (SELECT 1 FROM Sculptures WHERE sculptorID = T1.artistID),"How many unique painters are there who either created a painting after 1900, have the last name 'Picasso', or have created a sculpture?",4,True,extra
SELECT COUNT(paintingID) FROM Paintings AS T1 JOIN Artists AS T2 ON T1.painterID = T2.artistID WHERE T2.lname = 'Wong',How many paintings were created by the artist with the last name 'Wong'?,2,True,medium
"SELECT T1.artistID, COUNT(T2.paintingID), COUNT(T3.sculptureID) FROM Artists AS T1 JOIN Paintings AS T2 ON T1.artistID = T2.painterID JOIN Sculptures AS T3 ON T1.artistID = T3.sculptorID WHERE T2.title != T3.title LIMIT 10","What are the IDs of artists who created both paintings and sculptures with different titles, along with the number of paintings and sculptures they created, for the 11th to 20th results?",6,True,extra
SELECT DISTINCT T1.lname FROM Artists AS T1 JOIN Paintings AS T2 ON T1.artistID = T2.painterID WHERE T2.year > 1800 AND T2.title IN (SELECT T3.title FROM Paintings AS T3 WHERE T3.year > 1900) GROUP BY T1.lname HAVING MAX(T2.year) > 1850 ORDER BY T1.lname ASC LIMIT 10,"What are the last names of the next 10 artists after the first 10, whose paintings were created after 1800, whose paintings are among those created after 1900, and whose latest painting was created after 1850, ordered alphabetically by last name?",6,False,extra
"SELECT T1.lname, T2.title FROM Artists AS T1 JOIN Paintings AS T2 ON T1.artistID = T2.painterID WHERE T1.fname = 'John' AND EXISTS (SELECT 1 FROM Sculptures AS T3 WHERE T3.sculptorID = T1.artistID AND T3.title = 'David')",What are the last names of artists named John who have created a sculpture titled 'David' and what are the titles of their paintings?,2,True,extra
"SELECT T1.year, T2.year FROM Paintings AS T1 JOIN Paintings AS T2 ON T1.painterID = T2.painterID ORDER BY T1.year ASC",What are the year pairs of paintings by the same painter in ascending chronological order?,6,False,medium
SELECT COUNT(DISTINCT T1.artistID) FROM Artists AS T1 JOIN Paintings AS T2 ON T1.artistID = T2.painterID JOIN Sculptures AS T3 ON T1.artistID = T3.sculptorID WHERE T2.year BETWEEN 1900 AND 2000 OR T3.year NOT IN (SELECT year FROM Sculptures WHERE location = 'New York') LIMIT 10,"What are the next 10 artists who either created paintings between 1900 and 2000 or created sculptures not located in New York, excluding the first 10 results?",6,False,extra
SELECT T2.lname FROM Paintings AS T1 JOIN Artists AS T2 ON T1.painterID = T2.artistID WHERE T1.title != 'My Title',What are the last names of artists who created paintings with titles other than 'My Title'?,2,True,medium
