query,question,iter,flag,hardness
SELECT T1.School_ID FROM school AS T1 JOIN school AS T2 ON T1.School_ID = T2.School_ID WHERE T1.Enrollment BETWEEN 500 AND 1000 AND T1.Founded > 1950 AND NOT EXISTS (SELECT * FROM school_performance AS T3 WHERE T3.School_Id = T1.School_ID AND T3.Class_AA = 'A'),"Which schools have an enrollment between 500 and 1000, were founded after 1950, and have no class AA A grades in their school performance records?",3,True,extra
"SELECT T1.Location, T2.League FROM school AS T1 JOIN school_details AS T2 ON T1.School_ID = T2.School_ID",What are the locations and leagues of the schools?,2,True,medium
"SELECT Enrollment, School FROM school WHERE Enrollment <= 1000 ORDER BY Enrollment ASC LIMIT 10",What are the enrollment numbers and corresponding school names for the 11th to 20th schools with the lowest enrollment?,6,True,hard
"SELECT T1.School, MAX(T3.Enrollment) FROM school AS T1 JOIN school_details AS T2 ON T1.School_ID = T2.School_ID JOIN school AS T3 ON T2.School_ID = T3.School_ID WHERE T3.Founded >= 1850 GROUP BY T1.School HAVING MAX(T3.Enrollment) > 2000",What are the schools with maximum enrollment over 2000 that were founded in or after 1850?,6,False,extra
"SELECT School, Location FROM school WHERE School_ID IN (SELECT School_ID FROM school_details WHERE Nickname = 'Team A' AND Class = 'AAA') ORDER BY School ASC","What are the names and locations of the schools with nickname 'Team A' and class 'AAA', listed in ascending order by school name?",2,True,extra
SELECT Enrollment FROM school WHERE Founded != 2000 ORDER BY Enrollment DESC,"What are the enrollment numbers of schools that were not founded in 2000, listed in descending order?",2,True,medium
"SELECT School_ID, School, SUM(Enrollment) AS sum_enrollment FROM school WHERE Founded BETWEEN 1950 AND 1960 GROUP BY School_ID",What is the total enrollment for each school founded between 1950 and 1960?,6,False,medium
SELECT School FROM school WHERE School != 'School1' ORDER BY School ASC LIMIT 5,What are the next 5 schools in alphabetical order excluding School1?,2,True,hard
"SELECT School, Founded FROM school",What are the names of the schools and the years they were founded?,2,True,medium
SELECT Enrollment FROM school WHERE Enrollment BETWEEN 400 AND 800 OR Enrollment > 1200 OR NOT EXISTS (SELECT School_ID FROM school_details WHERE school.School_ID = school_details.School_ID),"What are the enrollment numbers of schools that either have between 400 and 800 students, or more than 1200 students, or have no record in the school details table?",2,True,extra
SELECT COUNT(DISTINCT School) FROM school WHERE Enrollment >= 0,How many distinct schools are there with enrollment greater than or equal to 0?,2,True,easy
SELECT School FROM school WHERE Enrollment <= 5000 LIMIT 10,"What are the names of schools with enrollment of 5000 or less, starting from the 11th school?",3,True,medium
"SELECT T1.School_ID, T2.School_ID FROM school AS T1 JOIN school AS T2 ON T1.School_ID = T2.School_ID WHERE T1.Enrollment > 1000",What are the school IDs of schools with enrollment greater than 1000?,3,True,medium
"SELECT School_ID, COUNT(DISTINCT Enrollment) FROM school WHERE Founded = 1850 GROUP BY School_ID HAVING COUNT(DISTINCT Enrollment) = 1",What schools were founded in 1850 and have only one distinct enrollment number?,6,False,medium
"SELECT COUNT(DISTINCT School_ID), Enrollment FROM school WHERE Denomination != 'Public'",What are the counts of distinct school IDs and enrollments of non-public schools?,6,False,medium
"SELECT T1.School, T2.School FROM school AS T1 JOIN school AS T2 ON T1.School_ID = T2.School_ID WHERE T1.Enrollment BETWEEN 500 AND 1000",What are the pairs of identical school names with enrollment between 500 and 1000?,6,False,medium
"SELECT MAX(Enrollment), MIN(Enrollment), COUNT(School_ID) FROM school WHERE Enrollment <= 1000",What are the maximum and minimum enrollment numbers and how many schools have an enrollment of 1000 or less?,2,True,medium
"SELECT s.School, COUNT(p.Player_ID) FROM school s JOIN player p ON s.School_ID = p.School_ID WHERE s.Enrollment > 1000 AND s.Location = 'NYC' AND EXISTS (SELECT 1 FROM school_performance sp WHERE sp.School_Id = s.School_ID AND sp.Class_A = 'A') ORDER BY s.School ASC","What are the names of schools in NYC with enrollment greater than 1000 that have a class A school performance, along with the number of players from each school, listed in ascending order by school name?",6,False,extra
SELECT T1.School_ID FROM school AS T1 JOIN school AS T2 ON T1.School_ID = T2.School_ID WHERE EXISTS (SELECT 1 FROM school_performance WHERE School_Id = T1.School_ID) GROUP BY T1.School_ID HAVING MIN(T1.Enrollment) = 500,"Which school IDs represent schools with the lowest enrollment of 500, only considering schools with available performance records?",6,True,extra
"SELECT School_ID, MAX(Enrollment) FROM school WHERE Enrollment > 1000 GROUP BY School_ID ORDER BY School_ID ASC","What are the school IDs and their highest enrollment numbers for schools with more than 1000 enrollment, listed in ascending order by school ID?",2,True,hard
"SELECT School_ID, School FROM school AS T1 WHERE Enrollment > 1000 AND EXISTS (SELECT 1 FROM school_details AS T2 WHERE T1.School_ID = T2.School_ID AND T2.League = 'League1') AND Location = 'Location1'",What are the school IDs and names of schools in Location1 with more than 1000 students and participating in League1?,2,True,extra
"SELECT COUNT(DISTINCT School_Colors), School FROM school AS S WHERE Location = 'USA' LIMIT 10","What are the distinct school colors and corresponding school names for schools in the USA, starting from the 11th result?",6,False,medium
"SELECT Enrollment, SUM(Enrollment) FROM school GROUP BY Enrollment HAVING SUM(Enrollment) > 500",What level of enrollment is associated with a total enrollment above 500?,6,False,medium
"SELECT T1.School, T2.Nickname, T3.School_Year FROM school AS T1 JOIN school_details AS T2 ON T1.School_ID = T2.School_ID JOIN school_performance AS T3 ON T1.School_ID = T3.School_Id WHERE T1.Enrollment BETWEEN 100 AND 500 ORDER BY T1.Enrollment DESC LIMIT 10","What are the names, nicknames, and school years of the 11th to 20th schools with the highest enrollment, which have enrollment between 100 and 500?",2,True,extra
