query,question,iter,flag,hardness
SELECT COUNT(DISTINCT Player) FROM match_season WHERE Season <= 2010 LIMIT 10,"What are the counts of the distinct players in the match season before or in 2010, listed from the 11th to the 20th?",6,False,medium
"SELECT Player, COUNT(Team) FROM match_season WHERE Country = 1 OR Player = 'John' OR Draft_Pick_Number NOT IN (SELECT Draft_Pick_Number FROM match_season WHERE Season = 2020) GROUP BY Player HAVING COUNT(Team) > 5 ORDER BY Player DESC","Which players, from country 1 or the player John, or players not drafted in the 2020 season, have played in more than 5 teams, listed in descending order by player name?",6,False,extra
"SELECT T1.Country_name, COUNT(T1.Official_native_language) FROM country AS T1 WHERE T1.Capital = 'Madrid' GROUP BY T1.Country_name ORDER BY COUNT(T1.Official_native_language) ASC","What is the country name and number of official native languages for the country whose capital is Madrid, listed in ascending order by the number of official native languages?",2,True,hard
SELECT SUM(Total_WL) FROM player WHERE Years_Played > 10 LIMIT 5,What are the total wl of the next 5 players with more than 10 years played after the top 5 players?,6,False,medium
SELECT COUNT(Country_id) FROM country WHERE Country_name > 'USA',How many countries are alphabetically listed after the USA?,2,True,easy
"SELECT Country_name, Official_native_language FROM country WHERE Capital = 'Madrid'",What is the official native language and country name of the country whose capital is Madrid?,3,True,medium
SELECT MAX(Capital) FROM country GROUP BY Country_name ORDER BY Capital ASC,What is the smallest capital for each country when listed in order from smallest to largest?,6,False,medium
SELECT T1.Country_name FROM country AS T1 WHERE NOT EXISTS (SELECT T2.Country FROM match_season AS T2 WHERE T1.Country_id = T2.Country AND T2.Season = 2020),What are the country names that did not participate in the 2020 season?,3,True,hard
"SELECT T1.Name, COUNT(T2.Season) FROM team AS T1 JOIN match_season AS T2 ON T1.Team_id = T2.Team WHERE T2.Position != 'Point guard' ORDER BY COUNT(T2.Season) DESC LIMIT 10","What are the names of the teams with the most seasons, excluding point guards, starting from the 11th result?",6,False,extra
SELECT Country_name FROM country AS T1 WHERE Country_id < 10 ORDER BY Country_name ASC,"What are the country names with a country id less than 10, listed in alphabetical order?",2,True,medium
"SELECT T1.Country_name, COUNT(DISTINCT T2.Player) FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id = T2.Country JOIN team AS T3 ON T2.Team = T3.Team_id JOIN player AS T4 ON T3.Team_id = T4.Team WHERE T2.Season >= 2000 GROUP BY T1.Country_name HAVING AVG(T2.Draft_Pick_Number) > 10","Which countries have an average draft pick number greater than 10 for players who started their careers in 2000 or later, and how many unique players are from each of these countries?",6,False,extra
"SELECT T1.Country_name, T2.Player FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id = T2.Country WHERE T2.Season BETWEEN 2010 AND 2020 ORDER BY T2.Season DESC","What are the country names and players in the match season, for countries with a season between 2010 and 2020, listed in descending order by season?",6,False,hard
SELECT COUNT(DISTINCT Country_name) FROM country WHERE Country_name != 'USA' LIMIT 10,What are the 11th to 20th unique country names excluding 'USA'?,6,False,medium
"SELECT T1.Player, SUM(T2.Season) FROM match_season AS T1 JOIN match_season AS T2 ON T1.Player = T2.Player WHERE T1.Season < T2.Season","For each player, what is the total number of seasons played after their first season?",6,False,medium
SELECT COUNT(DISTINCT T1.Player) FROM match_season AS T1 JOIN match_season AS T2 ON T1.Player = T2.Player WHERE T2.Draft_Pick_Number > 100,How many distinct players were drafted after the 100th pick?,6,True,medium
SELECT * FROM country WHERE Country_id BETWEEN 10 AND 50 LIMIT 100,"What are the details of countries with country ids between 10 and 50, excluding the first 100 countries in the list?",6,False,medium
"SELECT T1.Country_name, COUNT(DISTINCT T4.Player) FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id = T2.Country JOIN team AS T3 ON T2.Team = T3.Team_id JOIN player AS T4 ON T3.Team_id = T4.Team WHERE T1.Official_native_language != 'English' GROUP BY T1.Country_name HAVING MAX(T2.Season) = 2022 LIMIT 1","Which non-English speaking country had the most unique players in the 2022 season, excluding the country with the most unique players?",6,False,extra
SELECT Country_name FROM country WHERE Country_id = 10 AND Capital = 'London' AND Country_name NOT IN (SELECT Country_name FROM country WHERE Country_id < 5) ORDER BY Country_name DESC,"What are the country names with country id 10 and capital 'London' that are not among the first 5 country ids, listed in descending order by country name?",2,True,extra
"SELECT T1.Country_name, T2.Name, COUNT(T3.Player) FROM country AS T1 JOIN match_season AS T3 ON T1.Country_id = T3.Country JOIN team AS T2 ON T2.Team_id = T3.Team WHERE T3.Season > 2010 LIMIT 10","What are the countries, teams and the number of players for each country and team combination, where the season is greater than 2010, listed from 11th to 20th in the count of players?",2,True,extra
SELECT MAX(T1.Country_id) FROM country AS T1 WHERE T1.Country_id BETWEEN 10 AND 20 AND EXISTS (SELECT T2.Team FROM team AS T2 WHERE T2.Team_id = T1.Country_id),What is the maximum country id between 10 and 20 that also exists as a team id?,3,True,extra
SELECT MAX(T1.Draft_Pick_Number) FROM match_season AS T1 WHERE T1.Season >= 2010 LIMIT 1,What is the highest draft pick number for players in the 2010 season or later?,4,True,medium
