query,question,iter,flag,hardness
SELECT IATA FROM airport WHERE City = 'New York',What are the IATA codes of airports in New York?,2,True,easy
"SELECT T1.name, T2.name, T3.Velocity FROM airport AS T1 JOIN flight AS T3 ON T1.id = T3.airport_id JOIN operate_company AS T2 ON T2.id = T3.company_id WHERE T3.Velocity >= 800 LIMIT 10","What are the names of the airport, the operating company, and the flight speed for the 11th to 20th flights with a speed of at least 800?",4,True,extra
SELECT * FROM operate_company WHERE Group_Equity_Shareholding > 10 ORDER BY id ASC,"What are the details of all operating companies with more than 10% group equity shareholding, listed in ascending order by id?",3,True,medium
"SELECT COUNT(name) , COUNT(ICAO) FROM airport AS T1",How many airport names and ICAO codes are there in total in the airport table?,4,True,medium
"SELECT T1.id, T2.id FROM airport AS T1 JOIN flight AS T2 ON T1.id = T2.airport_id WHERE T1.Country <= 'USA' LIMIT 10",What are the IDs of the first 10 flights from airports in countries that are alphabetically after or equal to 'USA'?,6,False,hard
"SELECT T1.ICAO, MAX(T2.Velocity) FROM airport AS T1 JOIN flight AS T2 ON T1.id = T2.airport_id GROUP BY T1.ICAO HAVING COUNT(DISTINCT T2.Pilot) <= 10 ORDER BY T1.ICAO ASC LIMIT 5","What are the next 5 airport ICAO codes that have the highest maximum flight velocity and are operated by no more than 10 different pilots, listed in ascending order by ICAO code?",6,False,extra
"SELECT COUNT(DISTINCT T1.name), COUNT(T2.Date) FROM airport AS T1 JOIN flight AS T2 ON T1.id = T2.airport_id JOIN operate_company AS T3 ON T2.company_id = T3.id WHERE T1.City = 'Paris'",How many unique airport names and total flights are there in Paris?,6,False,hard
"SELECT AVG(T1.Velocity), AVG(T1.Altitude), COUNT(T2.id) FROM flight AS T1 JOIN airport AS T2 ON T1.airport_id = T2.id JOIN operate_company AS T3 ON T1.company_id = T3.id WHERE T3.Group_Equity_Shareholding <= 50 LIMIT 10",What are the average velocity and altitude of flights and the number of airports for the next 10 flights operated by companies with equity shareholding less than or equal to 50%?,5,True,extra
SELECT T1.name FROM airport AS T1 WHERE T1.id BETWEEN 100 AND 200 AND T1.City = 'New York' AND T1.Country = 'USA' ORDER BY T1.id DESC,"What are the names of airports in 'New York', 'USA', with id between 100 and 200, listed in descending order by id?",3,True,medium
"SELECT COUNT(DISTINCT T2.id), T1.id FROM airport AS T1 JOIN flight AS T2 ON T1.id = T2.airport_id WHERE T2.company_id != 1 GROUP BY T1.id ORDER BY COUNT(DISTINCT T2.id) DESC","What are the airport IDs with the number of distinct flights for each airport, excluding flights operated by the company with ID 1, listed in descending order by the number of distinct flights?",3,True,extra
SELECT Velocity FROM flight WHERE Altitude <= 10000 ORDER BY Velocity ASC,"What are the velocities of all flights flying at or below an altitude of 10000, listed from lowest to highest?",3,True,medium
"SELECT COUNT(DISTINCT T1.id), COUNT(DISTINCT T3.id), COUNT(T2.id) FROM airport AS T1 JOIN flight AS T2 ON T1.id = T2.airport_id JOIN operate_company AS T3 ON T2.company_id = T3.id WHERE T2.Velocity BETWEEN 500 AND 1000 AND T3.Group_Equity_Shareholding > 20 AND T1.Country = 'USA' ORDER BY T2.id DESC LIMIT 10","What are the counts of distinct USA airports, distinct operating companies with more than 20% group equity shareholding and flights with velocities between 500 and 1000 for the 11th to 20th recent flights respectively?",3,True,extra
"SELECT T2.City, COUNT(DISTINCT T1.id) FROM flight AS T1 JOIN airport AS T2 ON T1.airport_id = T2.id WHERE T1.Velocity BETWEEN 500 AND 1000 OR T1.id IN (SELECT id FROM flight WHERE Velocity > 1000) OR T1.company_id = (SELECT id FROM operate_company WHERE name = 'Company A') GROUP BY T2.City HAVING COUNT(DISTINCT T1.id) > 1 ORDER BY T2.City ASC","What cities have more than one flight with a velocity between 500 and 1000, or a velocity greater than 1000, or operated by 'Company A', and list them in ascending order?",2,True,extra
"SELECT COUNT(f.id), f.Pilot, f.Altitude FROM flight AS f WHERE f.Velocity BETWEEN 200 AND 400 AND f.Altitude > 5000 AND f.Pilot = 'Bob'",How many flights flown by Bob at an altitude above 5000 were at a velocity between 200 and 400?,4,True,medium
SELECT * FROM airport WHERE IATA IN ( SELECT IATA FROM airport WHERE City = 'New York' ) OR City IN ( SELECT City FROM airport WHERE Country = 'USA' ),What are the details of airports that either have the same IATA code as airports in New York or are located in the same city as airports in the USA?,4,True,extra
"SELECT T1.City, T2.Pilot FROM airport AS T1 JOIN flight AS T2 ON T1.id = T2.airport_id WHERE T2.id = 1 AND T2.Velocity > 100 AND T2.Altitude IN (SELECT T2.Altitude FROM airport AS T1 JOIN flight AS T2 ON T1.id = T2.airport_id) LIMIT 10","What are the cities and pilots of the flights with an altitude that has been flown by some flight and a velocity above 100 and a flight id of 1, listed 11th to 20th?",4,True,extra
SELECT name FROM airport WHERE IATA != 'ABC' ORDER BY name ASC LIMIT 10,"What are the names of the next 10 airports, excluding the one with IATA code 'ABC', in alphabetical order?",2,True,hard
"SELECT City, COUNT(DISTINCT IATA) FROM airport WHERE ICAO = 'KLAX' OR ICAO IN (SELECT ICAO FROM flight WHERE Altitude > 10000 AND Velocity < 500) OR ICAO = 'KJFK'","What are the cities and the number of unique IATA codes for airports with ICAO 'KLAX' or 'KJFK', or airports with flights that have an altitude greater than 10000 and a velocity less than 500?",6,False,extra
"SELECT T1.name, T2.name FROM airport AS T1 JOIN operate_company AS T2 ON T1.id = T2.id WHERE T1.ICAO = 'KJFK' OR T1.ICAO = 'KLAX' AND NOT EXISTS (SELECT 1 FROM flight AS T3 WHERE T3.company_id = T2.id)",What are the names of the airports and their operating companies that have either 'KJFK' or 'KLAX' as their ICAO and do not operate any flights?,3,True,extra
SELECT name FROM airport WHERE City >= 'New York',What are the names of the airports located in cities whose names come alphabetically after 'New York'?,6,False,easy
SELECT id FROM airport WHERE Country = 'USA' OR IATA = 'JFK' OR id = (SELECT airport_id FROM flight WHERE Velocity > 800) ORDER BY id ASC LIMIT 10,"What are the ids of the next 10 airports in the USA or with IATA 'JFK' or the airport of a flight with velocity greater than 800, ordered by id in ascending order?",2,True,extra
SELECT * FROM airport WHERE City = 'New York' OR Country = 'USA' OR EXISTS (SELECT 1 FROM flight WHERE flight.airport_id = airport.id AND flight.Date BETWEEN '2020-01-01' AND '2020-12-31'),"What are the details of airports in New York City or in the USA, or airports that had flights in 2020?",6,False,extra
