query,question,iter,flag,hardness
"SELECT title, director FROM Movie",What are the titles and directors of the movies?,2,True,medium
SELECT COUNT(DISTINCT T1.title) FROM Movie AS T1 WHERE T1.year BETWEEN 1990 AND 2000 AND T1.mID IN (SELECT T2.mID FROM Rating AS T2 GROUP BY T2.mID HAVING SUM(T2.stars) > 3),How many distinct movie titles are there between 1990 and 2000 that have an average rating of more than 3 stars?,6,False,extra
SELECT COUNT(DISTINCT title) AS title FROM Movie ORDER BY title DESC,"How many unique movie titles are there, listed in descending order?",6,False,medium
SELECT DISTINCT T1.title FROM Movie AS T1 JOIN Rating AS T2 ON T1.mID = T2.mID JOIN Reviewer AS T3 ON T3.rID = T2.rID WHERE T1.year = 2010 AND T3.name IN ( SELECT name FROM Reviewer ) LIMIT 10,"What are the titles of 2010 movies rated by any reviewer, listed 11th to 20th?",5,True,extra
SELECT COUNT(DISTINCT title) FROM Movie WHERE year > 2000 LIMIT 10,What are the 11th to 20th distinct movie titles released after the year 2000?,6,False,medium
SELECT T1.title FROM Movie AS T1 JOIN Rating AS T2 ON T1.mID = T2.mID WHERE T2.stars BETWEEN 3 AND 4 AND T2.mID IN (SELECT mID FROM Rating WHERE stars > 4),What are the titles of movies rated between 3 and 4 stars by some reviewers and greater than 4 stars by other reviewers?,3,True,extra
SELECT title FROM Movie WHERE director != 'Steven Spielberg',What are the titles of movies not directed by Steven Spielberg?,2,True,easy
SELECT title FROM Movie WHERE mID = (SELECT mID FROM Rating WHERE stars > 3),What are the titles of the movies that have been rated more than 3 stars?,3,True,hard
SELECT title FROM Movie WHERE year != 1999,What movie titles are from years other than 1999?,2,True,easy
"SELECT T1.title, T2.stars FROM Movie AS T1 JOIN Rating AS T2 ON T1.mID = T2.mID WHERE T2.stars BETWEEN 3 AND 5 AND T2.ratingDate > '2000-01-01'",What are the titles of movies rated between 3 and 5 stars after '2000-01-01' and their corresponding ratings?,4,True,extra
SELECT title FROM Movie WHERE mID NOT IN (SELECT mID FROM Rating WHERE stars = 5),What are the titles of the movies that have not received a 5-star rating?,3,True,hard
SELECT AVG(T2.stars) FROM Movie AS T1 JOIN Rating AS T2 ON T1.mID = T2.mID WHERE NOT EXISTS (SELECT 1 FROM Reviewer AS T3 WHERE T3.rID = T2.rID AND T3.name = 'James') GROUP BY T1.title,What is the average rating of each movie that was not rated by James?,6,True,extra
SELECT title FROM Movie WHERE title = 'Titanic' OR director = (SELECT director FROM Movie WHERE title = 'Alien') LIMIT 10,"What are the titles of movies that are either 'Titanic' or directed by the director of 'Alien', starting from the 11th entry, and limited to 10 entries?",4,True,extra
"SELECT COUNT(DISTINCT T1.rID), COUNT(T2.mID) FROM Rating AS T1 JOIN Movie AS T2 ON T1.mID = T2.mID WHERE T1.stars > 3 AND T2.year BETWEEN 1990 AND 2000 AND T2.director = 'Steven Spielberg'",How many distinct reviewers rated and how many Steven Spielberg movies from 1990 to 2000 received more than 3 stars?,2,True,hard
SELECT T1.title FROM Movie AS T1 WHERE T1.year BETWEEN 1990 AND 2000 AND T1.director = 'Steven Spielberg',What are the movie titles by Steven Spielberg released between 1990 and 2000?,2,True,medium
"SELECT DISTINCT T2.title, T3.name FROM Rating AS T1 JOIN Movie AS T2 ON T1.mID = T2.mID JOIN Reviewer AS T3 ON T1.rID = T3.rID WHERE (T2.year BETWEEN 1950 AND 1960 OR T3.name = 'James Cameron') AND T2.title = 'Titanic'","What are the distinct titles and reviewer names for the movie 'Titanic' released between 1950 and 1960, or reviewed by James Cameron?",3,True,hard
"SELECT T1.title, AVG(T2.stars) FROM Movie AS T1 JOIN Rating AS T2 ON T1.mID = T2.mID WHERE T1.title NOT IN ( SELECT T3.title FROM Movie AS T3 JOIN Rating AS T4 ON T3.mID = T4.mID WHERE T4.stars > 4 ) GROUP BY T1.title ORDER BY T1.title ASC LIMIT 10","What are the titles and average ratings of the next 10 movies that have at least one rating of 4 stars or less, ordered alphabetically by title?",2,True,extra
SELECT title FROM Movie WHERE title BETWEEN 'A' AND 'M',"What movie titles are between 'A' and 'M', inclusive?",2,True,easy
"SELECT T1.title, T2.name, T3.stars FROM Movie AS T1 JOIN Rating AS T3 ON T1.mID = T3.mID JOIN Reviewer AS T2 ON T3.rID = T2.rID WHERE T3.stars BETWEEN 1 AND 5 ORDER BY T3.stars DESC","What are the titles of movies that have been rated between 1 and 5 stars along with the reviewers who gave those ratings, listed in descending order of the rating stars?",2,True,extra
"SELECT T1.title, AVG(T2.stars) FROM Movie AS T1 JOIN Rating AS T2 ON T1.mID = T2.mID WHERE T2.stars <= 5",What are the titles of movies and their average rating out of 5 stars?,6,False,medium
SELECT title FROM Movie WHERE year > 1990 LIMIT 10,What are the titles of the next 10 movies released after the first 10 movies released after 1990?,2,True,medium
