query,question,iter,flag
"SELECT age, age FROM PilotSkills JOIN Hangar ON PilotSkills.plane_name = Hangar.plane_name WHERE age BETWEEN 1 AND 10 AND age IN (SELECT age FROM PilotSkills AS q WHERE  q.age < 53 LIMIT 8) ORDER BY age ASC","What are the ages, listed in ascending order, of pilots between the ages of 1 and 10 that have an age similar to one of the 8 youngest pilots?",6,False
"SELECT COUNT(DISTINCT pilot_name), COUNT(DISTINCT age) FROM PilotSkills WHERE  age > 8",How many unique pilots and unique ages are there for pilots older than 8 years?,2,True
SELECT COUNT(DISTINCT PilotSkills.plane_name) FROM PilotSkills JOIN Hangar ON PilotSkills.plane_name = Hangar.plane_name WHERE PilotSkills.age > 30;,How many different plane types can pilots over 30 years old operate that are located in a hangar?,4,True
"SELECT MAX(age), COUNT(DISTINCT age) FROM PilotSkills WHERE age BETWEEN 1 AND 10;",What is the maximum age and the number of distinct ages of pilots who are between 1 and 10 years old?,2,True
"SELECT SUM(age), age FROM PilotSkills WHERE plane_name NOT IN (SELECT plane_name FROM Hangar LIMIT 10) ORDER BY age DESC LIMIT 3",What are the sum of ages and individual ages of the 4th to 6th oldest pilots flying planes that are not among the first 10 planes in the hangar?,2,True
"SELECT age, plane_name FROM PilotSkills WHERE  age <= 14 LIMIT 9","What are the ages and plane names of the pilots older than or equal to 14, listed from the 10th to the 18th oldest?",6,False
"SELECT age, location FROM PilotSkills JOIN Hangar ON PilotSkills.plane_name = Hangar.plane_name WHERE age BETWEEN 1 AND 10 OR plane_name < (SELECT MAX(plane_name) FROM PilotSkills AS y)",What are the ages and locations of pilots who are between 1 and 10 years old or have a plane with a name that is less than the maximum plane name?,2,True
"SELECT COUNT(DISTINCT age), COUNT(DISTINCT pilot_name), age FROM PilotSkills WHERE age BETWEEN 1 AND 10 OR  age != 69 ORDER BY age ASC LIMIT 10","What are the distinct ages and the number of unique pilot names for each age between 1 and 10 or not equal to 69, listed from youngest to oldest, starting from the 11th pilot?",6,False
SELECT COUNT(DISTINCT location) FROM Hangar WHERE location IN (SELECT location FROM Hangar AS s LIMIT 9) LIMIT 10,"What is the count of distinct locations, excluding the first 10 locations, for the first 9 locations where planes are stored in the hangar?",6,False
"SELECT plane_name, AVG(age) AS average_age FROM PilotSkills GROUP BY plane_name HAVING AVG(age) <= 23 ORDER BY plane_name ASC;","What is the average age of pilots for each plane type, for planes with an average pilot age of 23 or less, listed in ascending order of plane name?",3,True
SELECT age FROM PilotSkills JOIN Hangar ON PilotSkills.plane_name = Hangar.plane_name WHERE age > 10;,What are the ages of pilots older than 10 years old who can fly planes in the hangar?,2,True
"SELECT t.age, t.pilot_name FROM PilotSkills JOIN PilotSkills AS t ON PilotSkills.pilot_name = t.pilot_name WHERE  PilotSkills.age >= 53 ORDER BY t.pilot_name ASC LIMIT 2","What are the names and ages of the oldest two pilots 53 years or older, excluding the youngest of such pilots?",6,False
"SELECT PilotSkills.plane_name, Hangar.plane_name, location FROM PilotSkills JOIN Hangar ON PilotSkills.plane_name = Hangar.plane_name WHERE age BETWEEN 1 AND 10 OR age = 57 GROUP BY PilotSkills.plane_name ORDER BY PilotSkills.plane_name DESC;","What are the plane names and locations of planes that pilots with ages 1-10 or 57 can fly, listed in descending order by plane name?",5,True
SELECT age FROM PilotSkills JOIN Hangar ON PilotSkills.plane_name = Hangar.plane_name WHERE age BETWEEN 1 AND 10 OR  age > 28 ORDER BY age DESC,"What are the ages of pilots in descending order, focusing on those who are between 1 and 10 years old or more than 28 years old?",3,True
"SELECT age, age FROM PilotSkills WHERE  age > 80 ORDER BY age ASC","What are the ages of pilots older than 80 listed from the youngest to the oldest, with their age listed twice?",4,True
SELECT v.age FROM PilotSkills AS v WHERE v.age >= 58 GROUP BY v.age LIMIT 7,What are the ages of the 7 oldest groups of pilots aged 58 and above?,6,False
SELECT age FROM PilotSkills WHERE age > 81 ORDER BY age DESC LIMIT 3,What are the ages of the 4th to 6th oldest pilots?,2,True
"SELECT PilotSkills.age, PilotSkills.plane_name FROM PilotSkills JOIN Hangar ON PilotSkills.plane_name = Hangar.plane_name WHERE EXISTS (SELECT 1 FROM PilotSkills AS T1 WHERE T1.age BETWEEN 1 AND 10 AND T1.plane_name = PilotSkills.plane_name) GROUP BY PilotSkills.plane_name ORDER BY PilotSkills.age DESC LIMIT 1",What is the second oldest age of a pilot for each plane model where at least one pilot of that plane model is between 1 and 10 years old?,6,False
SELECT MAX(age) FROM PilotSkills JOIN Hangar ON PilotSkills.plane_name = Hangar.plane_name WHERE  age <= 80,What is the maximum age of pilots who fly planes in the hangar and are 80 years old or less?,2,True
"SELECT COUNT(DISTINCT Hangar.plane_name), PilotSkills.pilot_name FROM PilotSkills JOIN Hangar ON PilotSkills.plane_name = Hangar.plane_name WHERE PilotSkills.age IN (SELECT age FROM PilotSkills GROUP BY age HAVING COUNT(age) > 1) GROUP BY PilotSkills.pilot_name ORDER BY PilotSkills.pilot_name DESC","For each pilot who shares the same age with at least one other pilot, how many different planes do they fly, listed in descending order by pilot name?",4,True
"SELECT MAX(PS.age), PS.age FROM PilotSkills AS h JOIN PilotSkills AS PS ON PS.pilot_name = h.pilot_name WHERE pilot_name >= (SELECT MAX(pilot_name) FROM PilotSkills WHERE  age <= 65 LIMIT 4)",What is the maximum and another age of the pilots who are among the four oldest pilots with the highest names?,6,False
"SELECT COUNT(DISTINCT plane_name), plane_name FROM PilotSkills WHERE  age < 60 GROUP BY plane_name HAVING COUNT(age) = 15",Which planes have exactly 15 pilots under the age of 60 flying them?,3,True
"SELECT pilot_name, pilot_name FROM PilotSkills JOIN Hangar ON PilotSkills.plane_name = Hangar.plane_name WHERE age BETWEEN 1 AND 10 OR EXISTS (SELECT * FROM Hangar AS H WHERE PilotSkills.pilot_name = H.plane_name)",What are the names of the pilots whose plane names match a plane in the hangar or whose age is between 1 and 10 and also has a matching plane name in the hangar?,6,False
SELECT w.age FROM PilotSkills AS w WHERE  w.age <= 10 ORDER BY w.age DESC LIMIT 4,"What are the ages, in descending order, of the fifth to eighth youngest pilots with an age of 10 or less?",3,True
"SELECT COUNT(DISTINCT age), age, Hangar.plane_name FROM PilotSkills JOIN Hangar ON PilotSkills.plane_name = Hangar.plane_name WHERE age BETWEEN 1 AND 10 AND EXISTS (SELECT * FROM PilotSkills WHERE age BETWEEN 1 AND 10 AND Hangar.plane_name = plane_name)","What are the counts and ages of pilots flying unique planes between 1 and 10 years old, where the plane is also flown by another pilot between 1 and 10 years old?",6,False
"SELECT COUNT(DISTINCT age), PilotSkills.plane_name FROM PilotSkills JOIN Hangar ON PilotSkills.plane_name = Hangar.plane_name WHERE age BETWEEN 1 AND 10 AND  age <= 19 ORDER BY PilotSkills.plane_name DESC","What is the number of distinct pilots aged between 1 and 19 years old, grouped by plane name, when ordered by plane name in descending order?",6,False
