query,question,iter,flag,hardness
"SELECT T1.name, T2.name, T3.name FROM architect AS T1 JOIN bridge AS T2 ON T1.id = T2.architect_id JOIN mill AS T3 ON T1.id = T3.architect_id WHERE T1.nationality = 'USA' OR T2.length_meters BETWEEN 100 AND 200 OR T3.built_year > 1900 ORDER BY T1.name DESC LIMIT 10","What are the names of the architects, bridges and mills for architects from the USA or bridges with length between 100 and 200 meters or mills built after 1900, listed in descending order of architect name, starting from the 11th result?",2,True,extra
"SELECT COUNT(id), COUNT(length_meters) FROM bridge WHERE length_feet >= 1000","How many bridges are there with lengths of at least 1000 feet, and how many of these bridges have a known length in meters?",6,False,medium
SELECT COUNT(DISTINCT name) FROM architect WHERE id > 10,How many unique architects have an id greater than 10?,2,True,easy
SELECT T1.name FROM architect AS T1 JOIN architect AS T2 ON T1.id = T2.id WHERE T1.id BETWEEN 1 AND 10 OR T1.name IN (SELECT name FROM architect WHERE nationality = 'British') LIMIT 5,"What are the names of architects with id between 1 and 10 or architects who are British, listed from the 6th to the 10th result?",6,False,extra
"SELECT COUNT(DISTINCT T1.name), COUNT(T1.id) FROM architect AS T1 WHERE T1.gender = 'Male' OR T1.nationality = 'Italian' OR EXISTS (SELECT 1 FROM bridge AS T2 WHERE T2.architect_id = T1.id)",What is the count of unique names and total count of male architects or Italian architects or architects who have designed at least one bridge?,2,True,extra
"SELECT T1.name, COUNT(DISTINCT T3.name) FROM architect AS T1 JOIN bridge AS T2 ON T2.architect_id = T1.id JOIN mill AS T3 ON T3.architect_id = T1.id WHERE T2.name != 'Tower Bridge'","What is the name of each architect and how many different mills have they designed, excluding those who have designed the Tower Bridge?",6,False,hard
SELECT T1.name FROM architect AS T1 JOIN architect AS T2 ON T1.id = T2.id WHERE T1.name = 'John',What is the name of the architect with the id of another architect named John?,2,True,medium
"SELECT architect_id, COUNT(location) AS count FROM mill GROUP BY architect_id",How many locations are designed by each architect for their mills?,2,True,medium
"SELECT COUNT(DISTINCT name), COUNT(DISTINCT nationality) FROM architect WHERE gender != 'Male' ORDER BY id DESC","What are the counts of distinct names and nationalities of female architects, listed in descending order by id?",4,True,extra
"SELECT COUNT(DISTINCT T1.name), T1.nationality FROM architect AS T1 WHERE T1.id < 100 ORDER BY T1.name DESC","How many distinct architects with id less than 100 are there, grouped by their nationality, listed in descending order of their names?",6,False,medium
"SELECT T1.name, T2.name, T3.name FROM architect AS T1 JOIN bridge AS T2 ON T1.id = T2.architect_id JOIN mill AS T3 ON T2.architect_id = T3.architect_id WHERE T1.gender != 'Male' ORDER BY T1.name DESC","What are the names of female architects and the bridges and mills they have designed, listed in descending order by architect name?",6,False,extra
SELECT T1.name FROM architect AS T1 JOIN bridge AS T2 ON T1.id = T2.architect_id JOIN mill AS T3 ON T1.id = T3.architect_id LIMIT 5,"What are the names of the architects, excluding the first 5, who designed both bridges and mills?",6,False,hard
"SELECT T1.nationality, T2.name, T3.location FROM architect AS T1 JOIN bridge AS T2 ON T1.id = T2.architect_id JOIN mill AS T3 ON T1.id = T3.architect_id","What are the nationality of the architects, the names of the bridges and the locations of the mills they designed?",2,True,medium
"SELECT T1.name, COUNT(DISTINCT T2.name), T2.name FROM architect AS T1 JOIN bridge AS T2 ON T1.id = T2.architect_id WHERE EXISTS (SELECT 1 FROM mill AS T3 WHERE T3.architect_id = T1.id)","What are the names of architects who also designed a mill, along with the count and names of their distinct bridges?",6,False,extra
"SELECT T1.name, T2.name, COUNT(T2.location) FROM architect AS T1 JOIN bridge AS T2 ON T1.id = T2.architect_id WHERE T2.length_feet < 1000 ORDER BY T2.name ASC","What are the names of architects and their bridges with less than 1000 feet in length, listed in ascending order of bridge name, along with the count of locations for each bridge name?",4,True,hard
"SELECT name, id FROM architect WHERE id = (SELECT architect_id FROM bridge ORDER BY length_feet DESC LIMIT 1)",What is the name and id of the architect who designed the longest bridge?,6,False,extra
"SELECT T1.name, COUNT(T2.id), COUNT(T3.id) FROM architect AS T1 JOIN bridge AS T2 ON T1.id = T2.architect_id JOIN mill AS T3 ON T1.id = T3.architect_id WHERE T2.length_meters <= 1000 ORDER BY T1.name ASC","What are the names of architects, the number of their bridges with length less than or equal to 1000 meters, and the number of their mills, listed in alphabetical order by architect name?",6,False,extra
"SELECT T1.name, COUNT(T1.id) FROM architect AS T1 WHERE T1.nationality = 'Japanese' OR T1.name BETWEEN 'A' AND 'K' GROUP BY T1.name HAVING COUNT(T1.id) > 1 LIMIT 10","What are the names of Japanese architects or architects whose name starts from A to K with more than one id, listed from the 11th to the 20th results?",2,True,extra
SELECT T1.name FROM architect AS T1 JOIN bridge AS T2 ON T1.id = T2.architect_id WHERE T2.length_feet > 100 ORDER BY T2.length_feet ASC LIMIT 5,Who are the architects of the 6th to 10th longest bridges in terms of feet?,6,False,extra
"SELECT T1.name, T1.nationality FROM architect AS T1 JOIN bridge AS T2 ON T1.id = T2.architect_id WHERE T1.gender != 'Male'",What are the names and nationalities of the architects who are not male?,3,True,medium
SELECT name FROM architect WHERE id NOT IN (SELECT architect_id FROM bridge) ORDER BY id DESC,"What are the names of the architects who have not designed any bridges, listed in descending order of their id?",2,True,extra
"SELECT T1.name, T2.length_meters FROM architect AS T1 JOIN bridge AS T2 ON T1.id = T2.architect_id WHERE T2.length_meters < 200 ORDER BY T2.length_meters ASC","What are the names of architects who designed bridges shorter than 200 meters, listed in ascending order of bridge length?",6,False,hard
"SELECT T1.name, MIN(T2.length_meters) FROM architect AS T1 JOIN bridge AS T2 ON T1.id = T2.architect_id GROUP BY T1.name",What is the name of each architect and the length of the shortest bridge they designed?,2,True,medium
SELECT name FROM architect WHERE id IN (SELECT architect_id FROM bridge WHERE length_meters > 100) ORDER BY id DESC,"What are the names of the architects who designed bridges longer than 100 meters, listed in descending order by architect ID?",2,True,extra
SELECT name FROM architect WHERE name = (SELECT name FROM architect WHERE nationality = 'Italian') LIMIT 5,"What are the names of architects, starting from the 6th, who have the same name as an Italian architect?",6,False,extra
"SELECT T1.name, COUNT(T2.id), COUNT(T3.id) FROM architect AS T1 JOIN bridge AS T2 ON T1.id = T2.architect_id JOIN mill AS T3 ON T1.id = T3.architect_id ORDER BY T1.id DESC","What are the names of architects along with the number of bridges and mills they have designed, listed in descending order of architect id?",6,False,hard
SELECT id FROM bridge WHERE length_meters > (SELECT AVG(length_meters) FROM bridge) LIMIT 10,What are the ids of the 11th to 20th longest bridges?,6,False,extra
