sql,hardness
SELECT Products.product_id FROM Products JOIN Order_Items ON Order_Items.product_id = Products.product_id WHERE EXISTS (SELECT * FROM Order_Items AS oi WHERE Products.product_id = oi.product_id),extra
"SELECT item_id, product_id FROM Order_Items WHERE product_id BETWEEN 1 AND 10 AND item_status_code > (SELECT SUM(item_status_code) FROM Order_Items AS h WHERE h.order_id BETWEEN 1 AND 10)",extra
"SELECT product_category, product_name FROM Products WHERE product_id BETWEEN 1 AND 10 OR product_id NOT IN (SELECT product_id FROM Order_Items WHERE product_id BETWEEN 1 AND 10)",extra
SELECT customer_id FROM Customer_Orders WHERE order_id BETWEEN 1 AND 10 ORDER BY customer_id DESC,medium
"SELECT product_category, COUNT(DISTINCT product_id) FROM Products WHERE product_id >= 44 GROUP BY product_category;",medium
SELECT COUNT(DISTINCT shipping_method_code) FROM Customer_Orders JOIN Order_Items ON Customer_Orders.order_id = Order_Items.order_id WHERE product_id <= 25,medium
"SELECT u.product_id, u.product_category FROM Products AS u WHERE u.product_id BETWEEN 1 AND 10 OR  u.product_id != 49",extra
"SELECT COUNT(DISTINCT order_items.item_id), order_items.order_item_status_code FROM Products JOIN Order_Items ON Products.product_id = Order_Items.product_id WHERE Products.product_id NOT IN (SELECT product_id FROM Products WHERE product_id BETWEEN 1 AND 10) GROUP BY order_items.order_item_status_code LIMIT 2",extra
"SELECT product_id, product_id FROM Products WHERE  product_id <= 64 LIMIT 5",medium
"SELECT product_id, product_name FROM Products WHERE  product_id < 29 ORDER BY product_name ASC LIMIT 7",hard
"SELECT customer_id, customer_id FROM Customer_Orders",medium
"SELECT COUNT(DISTINCT Premises.premise_id), Premises.premise_details FROM Premises GROUP BY Premises.premise_details HAVING MIN(Premises.premise_id) <= 56",medium
"SELECT COUNT(l.premise_id), l.premises_type FROM Premises AS l WHERE l.premise_id BETWEEN 1 AND 10 LIMIT 1",medium
"SELECT COUNT(Mailshot_Customers.customer_id), Mailshot_Customers.customer_id FROM Mailshot_Customers JOIN Customers ON Customers.customer_id = Mailshot_Customers.customer_id WHERE  mailshot_id < 72 GROUP BY Mailshot_Customers.customer_id LIMIT 8",extra
"SELECT MAX(i.mailshot_id), COUNT(DISTINCT i.mailshot_id), i.mailshot_name FROM Mailshot_Campaigns AS i WHERE i.mailshot_id <= 68 GROUP BY i.mailshot_name ORDER BY i.mailshot_name ASC",hard
"SELECT COUNT(DISTINCT w.premise_id), w.customer_id, w.date_address_to FROM Customer_Addresses AS w WHERE w.premise_id < 47 GROUP BY w.customer_id, w.date_address_to ORDER BY w.customer_id ASC",hard
"SELECT AVG(z.premise_id), MAX(z.customer_id), z.premise_id, z.address_type_code FROM Customer_Addresses AS z WHERE  z.customer_id = 73 GROUP BY z.premise_id, z.address_type_code HAVING COUNT(z.premise_id) = 82",hard
SELECT product_id FROM Products WHERE product_category NOT IN (SELECT product_category FROM Mailshot_Campaigns);,hard
"SELECT e.mailshot_id, e.customer_id FROM Mailshot_Customers AS e WHERE e.mailshot_id BETWEEN 1 AND 10 OR  e.mailshot_id != 55 ORDER BY e.mailshot_id ASC",hard
"SELECT COUNT(DISTINCT e.product_id), e.product_id, e.product_category FROM Products AS e WHERE  e.product_id < 62 AND product_name IN (SELECT product_name FROM Products WHERE  product_id < 49 LIMIT 9) GROUP BY e.product_category HAVING AVG(e.product_id) < 42 ORDER BY e.product_id DESC LIMIT 10",extra
"SELECT AVG(Order_Items.order_id), order_item_status_code, item_order_quantity FROM Customer_Orders JOIN Order_Items ON Customer_Orders.order_id = Order_Items.order_id WHERE Order_Items.order_id BETWEEN 1 AND 10 AND  Customer_Orders.customer_id = 70 LIMIT 4",hard
"SELECT customer_id, outcome_code FROM Mailshot_Customers WHERE customer_id > 36",medium
SELECT COUNT(DISTINCT payment_method) FROM Customers WHERE customer_id BETWEEN 1 AND 10 OR customer_name IN (SELECT customer_name FROM Customers AS e WHERE  e.customer_id <= 38),extra
"SELECT COUNT(mailshot_id), mailshot_id FROM Mailshot_Customers JOIN Customers ON Customers.customer_id = Mailshot_Customers.customer_id WHERE mailshot_id = 62 AND customer_name IN (SELECT customer_name FROM Customers LIMIT 1) ORDER BY mailshot_id ASC",extra
"SELECT COUNT(DISTINCT premise_id), premise_id FROM Premises WHERE premise_id = 12 ORDER BY premise_id DESC",medium
"SELECT COUNT(DISTINCT payment_method), customer_id FROM Customers LIMIT 5",medium
"SELECT product_name, product_category FROM Products GROUP BY product_name, product_category;",medium
