query,question,iter,flag
"SELECT g.year, g.mID FROM Movie AS g WHERE g.year = 2023",What are the years and IDs of the movies released in 2023?,3,True
"SELECT Reviewer.rID, f.name FROM Reviewer JOIN Reviewer AS f ON Reviewer.rID = f.rID WHERE  Reviewer.rID <= 9 GROUP BY f.name HAVING MAX(f.rID) < 82 LIMIT 1","Which reviewer with an ID less than or equal to 9, has the highest ID less than 82 when considering duplicate names?",6,False
"SELECT COUNT(DISTINCT year), mID, title FROM Movie WHERE mID > 29 OR mID IN (SELECT mID FROM Rating WHERE stars BETWEEN 1 AND 10) GROUP BY mID, title HAVING COUNT(year) = 84","What are the titles and IDs of the movies released in exactly 84 different years, including movies with IDs greater than 29 or those rated with any number of stars?",6,False
SELECT MAX(mID) FROM Movie WHERE year < 98 LIMIT 1,"What is the id of the movie with the highest id that was released before 1998, excluding the highest one?",6,False
"SELECT MAX(r.rID), r.name FROM Reviewer AS r GROUP BY r.name ORDER BY r.name ASC LIMIT 4",What are the names and highest reviewer IDs of the 5th to 8th reviewers when ordered alphabetically by name?,6,False
SELECT director FROM Movie JOIN Rating ON Movie.mID = Rating.mID WHERE Movie.mID BETWEEN 1 AND 10 AND  Movie.mID != 93,"Who are the directors of the movies with IDs between 1 and 10, excluding movie ID 93?",2,True
SELECT SUM(rID) FROM Reviewer WHERE  rID != 22 AND name NOT IN (SELECT name FROM Reviewer WHERE  rID >= 51 LIMIT 1),What is the sum of reviewer IDs of all reviewers except 22 and the reviewer with the highest ID greater than or equal to 51?,2,True
"SELECT title, director FROM Movie JOIN Rating ON Movie.mID = Rating.mID WHERE Rating.mID BETWEEN 1 AND 10 OR Movie.mID != (SELECT MAX(mID) FROM Movie AS p WHERE  p.mID != 28)","What are the titles and directors of movies with ids between 1 and 10 or movies that are not the last one if the last movie is not the 28th one, ordered by movie id",2,True
"SELECT COUNT(DISTINCT w.name), w.rID, w.name FROM Reviewer AS w WHERE  w.rID >= 19 GROUP BY w.rID, w.name ORDER BY COUNT(w.name) DESC LIMIT 5;",What are the names and IDs of the top 5 reviewers with the most reviews and how many reviews did they make?,5,True
SELECT COUNT(DISTINCT name) FROM Reviewer WHERE rID BETWEEN 1 AND 10,How many unique reviewers are there with IDs between 1 and 10?,6,False
"SELECT MIN(Movie.mID), director FROM Reviewer JOIN Movie JOIN Rating ON Rating.rID = Reviewer.rID AND Movie.mID = Rating.mID WHERE Rating.mID BETWEEN 1 AND 10",What is the lowest movie id and its corresponding director among movies with ratings between 1 and 10?,6,False
"SELECT COUNT(DISTINCT rID), name, name FROM Reviewer WHERE rID BETWEEN 1 AND 10",How many distinct reviewers with id between 1 and 10 are there along with their names?,6,False
"SELECT COUNT(rID), COUNT(DISTINCT rID), name FROM Reviewer WHERE rID >= 63 LIMIT 2","What are the names of the 2nd and 3rd reviewers with IDs 63 or higher, along with the total count of reviewers and the count of distinct reviewer IDs in this group?",4,True
"SELECT COUNT(DISTINCT director), title FROM Movie WHERE mID >= 69 GROUP BY title;",What are the movie titles and their distinct director counts for movies with id 69 and above?,2,True
"SELECT COUNT(DISTINCT x.title), x.year FROM Movie AS x WHERE  x.mID <= 82 GROUP BY x.year HAVING MIN(x.year) = 41 ORDER BY x.year DESC LIMIT 1","What is the number of distinct movie titles released in the second latest year that includes at least one movie released in 1941, among movies with IDs less than or equal to 82?",6,False
"SELECT MAX(Rating.rID), Movie.director FROM Rating JOIN Reviewer ON Rating.rID = Reviewer.rID JOIN Movie ON Rating.mID = Movie.mID WHERE Movie.mID BETWEEN 1 AND 10 AND Rating.stars >= 4 LIMIT 6","What are the directors of the top 6 movies with the highest reviewer id, considering only movies with id between 1 and 10 and a rating of at least 4 stars?",6,False
"SELECT COUNT(mID), mID FROM Movie WHERE  mID != 63","How many movies, excluding the one with id 63, are there and what are their ids?",5,True
SELECT year FROM Movie WHERE year = 1977;,What is the release year of a movie released in 1977?,2,True
"SELECT COUNT(DISTINCT director), MAX(mID) AS max_mID FROM Movie WHERE mID != 43 ORDER BY max_mID DESC;","Excluding the movie with id 43, what is the number of unique directors and the highest movie id of the remaining movies?",4,True
SELECT MIN(m.year) AS min_year FROM Movie AS m WHERE m.title IS NOT NULL AND m.mID < 37 LIMIT 5,What are the five next earliest years of movies with a title after the earliest five years of movies with a title and with a movie id less than 37?,4,True
