query,question,iter,flag,hardness
"SELECT COUNT(T1.County_Id), T2.Party FROM county AS T1 JOIN party AS T2 ON T1.County_Id = T2.Party_ID WHERE T1.Population BETWEEN 10000 AND 50000 AND T1.County_name NOT IN (SELECT T3.County_name FROM county AS T3 WHERE T3.Zip_code = '12345') LIMIT 10","What are the parties of the top 10 most populous counties with a population between 10,000 and 50,000 that do not have the zip code '12345', along with the count of such counties?",6,False,extra
SELECT SUM(Population) FROM county WHERE County_name = 'Baltimore' ORDER BY County_name ASC,What is the total population of Baltimore county?,6,False,medium
SELECT T1.County_name FROM county AS T1 JOIN election AS T2 ON T1.County_Id = T2.District JOIN party AS T3 ON T2.Party = T3.Party_ID WHERE EXISTS (SELECT 1 FROM county AS T4 JOIN election AS T5 ON T4.County_Id = T5.District WHERE T5.Party = T3.Party_ID AND T4.Population > 10000) LIMIT 10,"What are the names of counties that have a population above 10,000 and are represented by a party with at least one other county?",6,False,extra
"SELECT T1.County_name, T2.Year, T3.District FROM county AS T1 JOIN party AS T2 ON T1.County_Id = T2.Party_ID JOIN election AS T3 ON T2.Party_ID = T3.Party WHERE T3.District >= 5","What are the county names, years, and districts for the elections in districts with a number greater than or equal to 5?",6,False,hard
SELECT SUM(Population) FROM county WHERE County_name != 'New York' ORDER BY County_Id DESC,"What is the total population of all counties excluding 'New York', listed in descending order of county id?",2,True,medium
"SELECT COUNT(DISTINCT County_name), COUNT(DISTINCT Population) FROM county WHERE County_name = 'CountyA' OR County_Id BETWEEN 1 AND 100 OR Population > 500000 LIMIT 5","What are the counts of distinct county names and distinct populations for counties that have a name of 'CountyA' or have an id between 1 and 100 or have a population greater than 500000, limited to 5 results after the first 5 results?",2,True,extra
"SELECT T1.County_name, T2.County_name FROM county AS T1 JOIN county AS T2 ON T1.County_Id = T2.County_Id WHERE T1.Population = T2.Population ORDER BY T1.County_name ASC","What are the pairs of county names that have the same population, listed in ascending order by county name?",6,False,hard
"SELECT T1.County_name, T2.Party, COUNT(T1.County_Id) FROM county AS T1 JOIN party AS T2 ON T1.County_Id = T2.Party_ID WHERE T1.Population <= 1000000 ORDER BY T1.County_name ASC","What are the counties with population less than or equal to 1 million, along with their corresponding parties, listed in ascending order by county name?",6,False,hard
"SELECT T.County_name, T.Population FROM county AS T WHERE T.Population = 10000 LIMIT 10",What are the names and populations of the next 10 counties with a population of 10000,6,False,medium
SELECT MIN(Population) FROM county WHERE County_Id >= 1000,What is the minimum population of counties with a county id greater than or equal to 1000?,2,True,easy
"SELECT COUNT(DISTINCT County_Id), COUNT(DISTINCT County_name), COUNT(Population) FROM county AS e","How many unique county ids and county names are there, and what is the total count of population values?",3,True,medium
SELECT COUNT(County_Id) FROM county WHERE Population >= 1000,How many counties have a population of at least 1000?,3,True,easy
SELECT T1.County_name FROM county AS T1 JOIN election AS T2 ON T1.County_Id = T2.District JOIN party AS T3 ON T2.Party = T3.Party_ID WHERE T2.Counties_Represented = (SELECT Counties_Represented FROM election WHERE Delegate = 'Delegate') ORDER BY T1.Population ASC LIMIT 10,What are the names of the 11th to 20th counties with the smallest populations that have delegates in the same number of counties as 'Delegate' represented in the election?,6,False,extra
"SELECT COUNT(T1.County_Id), SUM(T1.Population) FROM county AS T1 JOIN election AS T2 ON T1.County_Id = T2.District WHERE T1.County_Id BETWEEN 1 AND 10 AND T2.District NOT IN (SELECT District FROM election WHERE Delegate = 'John Doe') AND T1.Population > 10000","What is the total number of counties and their population for counties with an id between 1 and 10, a population greater than 10000, and not represented by the delegate 'John Doe'?",6,False,extra
"SELECT COUNT(Population) AS population_count, AVG(Population) AS population_avg FROM county AS election WHERE County_name != 'Albany'",What is the count and average of the population in all counties except Albany?,2,True,medium
"SELECT AVG(T1.Population), SUM(T2.Year), COUNT(T3.District) FROM county AS T1 JOIN party AS T2 ON T1.County_Id = T2.Party_ID JOIN election AS T3 ON T2.Party_ID = T3.Party","What is the average population of counties, the total year of parties, and the number of districts in the election?",6,False,extra
SELECT County_name FROM county LIMIT 10,What are the names of the next 10 counties after the first 10 counties?,6,False,easy
SELECT COUNT(DISTINCT County_name) AS Zip_code FROM county ORDER BY County_Id DESC LIMIT 10,What are the names of the last 10 unique counties in the list when ordered by county id in descending order?,6,False,medium
